as_of_date,target_date,acute_load_7,chronic_load_28,atl_ctl_ratio,days_since_last_hard,streak_length,trained_today,trained_hard_today,trained_days_2,trained_both_days_2,trained_days_7,trained_days_30,moving_time_acute_7,moving_time_chronic_28,today_relative_effort,dow_train_rate,month_train_rate,day_of_week,trained_last_weekend,month,season,days_since_last_long_ride,forecast_temp_high,forecast_temp_low,forecast_precip_probability,forecast_rain_expected,forecast_wind_speed,forecast_temp_high_vs_seasonal,forecast_temp_low_vs_seasonal,forecast_precip_probability_vs_seasonal,forecast_wind_speed_vs_seasonal,forecast_precip_morning,forecast_precip_midday,forecast_precip_evening,will_train_tomorrow,next_day_relative_effort
2025-11-24,2025-11-25,17.622741623230127,15.413495617148858,1.1433319255382466,3,1,1,0,1.0,0,3.0,11.0,3915.965636103546,2811.294203680629,37.0,0.4,0.3333333333333333,1,False,11,3,0,5.7,2.9,79.16666666666666,1,9.8,-3.0150819672131144,0.581967213114754,45.327868852459005,-3.7445901639344275,75.0,100.0,100.0,0,0.0
2025-11-25,2025-11-26,13.217056217422595,14.350495919414453,0.9210173844613653,4,0,0,0,1.0,0,2.0,11.0,2936.9742270776596,2617.4118448061026,0.0,0.55,0.32727272727272727,2,False,11,3,1,8.6,5.3,25.0,1,12.4,-0.050491803278687186,3.041967213114754,-8.989071038251367,-1.2291803278688516,0.0,0.0,0.0,0,0.0
2025-11-26,2025-11-27,9.912792163066946,13.360806545661731,0.7419306708160999,5,0,0,0,0.0,0,2.0,10.0,2202.730670308245,2436.9006830953367,0.0,0.4098360655737705,0.32142857142857145,3,False,11,3,2,11.8,6.8,62.5,1,10.8,3.2370491803278707,4.5655737704918025,27.90983606557377,-2.9357377049180347,50.0,14.285714285714285,80.0,1,3.0
2025-11-27,2025-11-28,8.18459412230021,12.646268163202302,0.6471944147219236,6,1,1,0,1.0,0,3.0,11.0,2155.7980027311837,2407.8040842611754,3.0,0.4918032786885246,0.3333333333333333,4,False,11,3,3,10.2,3.9,12.5,1,10.3,1.7216393442622948,1.6983606557377047,-21.980874316939897,-3.487540983606559,0.0,0.0,0.0,0,0.0
2025-11-28,2025-11-29,6.138445591725157,11.774111738153868,0.5213510563037718,7,0,0,0,1.0,0,2.0,11.0,1616.8485020483877,2241.748630174198,0.0,0.45901639344262296,0.3275862068965517,5,False,11,3,4,9.6,0.6,4.166666666666666,1,7.2,1.1944262295081973,-1.577377049180328,-30.21857923497268,-6.661639344262292,0.0,0.0,20.0,0,0.0
2025-11-29,2025-11-30,4.603834193793867,10.96210403207429,0.4199772398002605,8,0,0,0,0.0,0,2.0,11.0,1212.6363765362908,2087.145276369081,0.0,0.29508196721311475,0.3220338983050847,6,False,11,3,5,6.5,-2.3,0.0,0,5.8,-1.8265573770491805,-4.465573770491803,-35.0,-8.131147540983608,0.0,0.0,0.0,0,0.0
2025-11-30,2025-12-01,3.4528756453454004,10.206096857448477,0.33831499872798765,9,0,0,0,0.0,0,2.0,11.0,909.4772824022181,1943.2042228263856,0.0,0.3442622950819672,0.41935483870967744,0,False,12,0,6,6.5,-0.2,16.666666666666664,1,7.5,-1.730163934426228,-2.3245901639344266,-18.770491803278688,-6.451475409836068,0.0,14.285714285714285,60.0,0,0.0
2025-12-01,2025-12-02,2.58965673400905,9.502228108658926,0.27253152675310116,10,0,0,0,0.0,0,1.0,11.0,682.1079618016636,1809.1901384935313,0.0,0.39344262295081966,0.40625,1,False,12,0,7,8.0,2.7,20.833333333333336,1,12.4,-0.16862745098039333,0.6055555555555556,-14.937363834422655,-1.637254901960782,50.0,0.0,0.0,0,0.0
2025-12-02,2025-12-03,1.9422425505067875,8.84690203219969,0.21953928543999815,11,0,0,0,0.0,0,1.0,10.0,511.5809713512477,1684.418404804322,0.0,0.5409836065573771,0.3939393939393939,2,False,12,0,8,5.8,1.4,8.333333333333332,1,5.6,-2.279738562091503,-0.6633986928104578,-27.88671023965141,-8.552287581699348,0.0,28.57142857142857,0.0,1,3.0
2025-12-03,2025-12-04,2.2066819128800907,8.443667409289366,0.2613416429041713,12,1,1,0,1.0,0,2.0,11.0,777.9357285134358,1677.010238955748,3.0,0.41935483870967744,0.4117647058823529,3,False,12,0,9,6.7,4.1,83.33333333333334,1,8.9,-1.3140522875816982,2.0620915032679736,46.70479302832245,-5.337908496732027,100.0,85.71428571428571,100.0,0,0.0
